graph, edges, result, time
G65_30, 624, UNSAT, 0.09574103s
G65_40, 832, UNSAT, 0.16765714s
G65_50, 1040, UNSAT, 0.10019112s
G65_60, 1248, UNSAT, 0.14392805s
G65_70, 1456, UNSAT, 0.19504499s
G65_80, 1664, UNSAT, 0.23573589s
G65_90, 1872, UNSAT, 0.28109980s
G65_100, 2080, UNSAT, 0.46334600s
G66_10, 214, UNSAT, 0.01658010s
G66_20, 429, UNSAT, 0.04981494s
G66_30, 643, UNSAT, 0.06717896s
G66_40, 858, UNSAT, 0.11797810s
G66_50, 1072, UNSAT, 0.11968303s
G66_60, 1287, UNSAT, 0.16201806s
G66_70, 1501, UNSAT, 0.21236300s
G66_80, 1716, UNSAT, 0.25786114s
G66_90, 1930, UNSAT, 0.30528784s
G66_100, 2145, UNSAT, 0.48888183s
G67_10, 221, UNSAT, 0.03560805s
G67_20, 442, UNSAT, 0.04740906s
G67_30, 663, UNSAT, 0.06534982s
G67_40, 884, UNSAT, 0.12446022s
G67_50, 1105, UNSAT, 0.11880398s
G67_60, 1326, UNSAT, 0.17239785s
G67_70, 1547, UNSAT, 0.22165394s
G67_80, 1768, UNSAT, 0.27436709s
G67_90, 1989, UNSAT, 0.33521104s
G67_100, 2211, UNSAT, 0.48119807s
G68_10, 227, UNSAT, 0.02577305s
G68_20, 455, UNSAT, 0.05698204s
G68_30, 683, UNSAT, 0.10964894s
G68_40, 911, UNSAT, 0.10806513s
G68_50, 1139, UNSAT, 0.12906599s
G68_60, 1366, UNSAT, 0.15726495s
G68_70, 1594, UNSAT, 0.23358703s
G68_80, 1822, UNSAT, 0.29955101s
G68_90, 2050, UNSAT, 0.37196302s
G68_100, 2278, UNSAT, 0.45882702s
G69_10, 234, UNSAT, 0.02021098s
G69_20, 469, UNSAT, 0.04555202s
G69_30, 703, UNSAT, 0.07755184s
G69_40, 938, UNSAT, 0.11488199s
G69_50, 1173, UNSAT, 0.13108397s
G69_60, 1407, UNSAT, 0.18222904s
G69_70, 1642, UNSAT, 0.24505591s
G69_80, 1876, UNSAT, 0.31025791s
G69_90, 2111, UNSAT, 0.40144706s
G69_100, 2346, UNSAT, 0.60778999s
G70_10, 241, UNSAT, 0.02528811s
G70_20, 483, UNSAT, 0.04792404s
G70_30, 724, UNSAT, 0.10016894s
G70_40, 966, UNSAT, 0.13100600s
